objectid,filename,title,format,description,cover art,design,date,type
INF001,It_Becomes_Us.jpg,It Becomes Us,image/jpg,Album Cover,Simon Roy,Ben Frith,2021-06-18,Image;StillImage
INF002,Portraits_From_The_Interior_World_I.jpg,Portraits From The Interior World I,image/jpg,Album Cover,Joshua Rivers,Joshua Rivers,2023-05-26,Image;StillImage
INF003,Portraits_From_The_Interior_World_II.jpg,Portraits From The Interior World II,image/jpg,Album Cover,Joshua Rivers,Joshua Rivers,2023-06-02,Image;StillImage
INF004,Unsung_Songs_Graphic_Scores.jpg,Unsung Songs: Graphic Scores,image/jpg,Album Cover,Viviane Houle,Derek von Essen,2023-06-09,Image;StillImage
INF005,Blind_Painter.jpg,Blind Painter,image/jpg,Album Cover,Ehren Salazar,Ehren Salazar,2023-06-16,Image;StillImage
INF006,Salience_Network.jpg,Salience Network,image/jpg,Album Cover,,,2023-11-24,Image;StillImage
INF007,Musical_Idiot.jpg,Musical Idiot,image/jpg,Album Cover,Darren Williams,Darren Williams,2024-02-02,Image;StillImage
INF008,Collage.jpg,Collage,image/jpg,Album Cover,Bruce Freedman,Josh Rivers,2024-02-02,Image;StillImage
INF009,The_Etiquett_Of_Dying.jpg,The Etiquette of Dying,image/jpg,Album Cover,Melissa Hubert,Melissa Hubert,2024-10-25,Image;StillImage
INF010,Dunbar_Heights.jpg,Dunbar Heights,image/jpg,Album Cover,Pyper Geddes,Pyper Geddes,2024-11-08,Image;StillImage
INF011,Autopoeitic_1.jpg,Autopoeitic 1,image/jpg,Album Cover,,,2025-03-21,Image;StillImage
INF012,Cucumber.jpg,Cucumber,image/jpg,Album Cover,Ehren Salazar,Ehren Salazar,2025-05-16,Image;StillImage
INF013,The_Speed_Of_Dark.jpg,The Speed of Dark,image/jpg,Album Cover,Ehren Salazar,Ehren Salazar,2025-05-17,Image;StillImage
INF014,Stranger_Friends_Orchestra_Live_At_The_Fox_Cabaret.jpg,Stranger Friends Orchestra: Live At The Fox Cabaret,image/jpg,Album Cover,Pyper Geddes,Pyper Geddes,2025-05-30,Image;StillImage